,date,avg_pnl,total_pnl,buy_ratio,avg_price,total_volume_usd,unique_traders,sentiment_score,sentiment_label
0,2023-05-01,0.0,0.0,1.0,1898.1333333333332,477.0,1,63,Greed
1,2023-12-05,0.0,0.0,0.7777777777777778,11038.3,50005.83,1,75,Extreme Greed
2,2023-12-14,-18.675885181818188,-205.43473700000007,0.45454545454545453,8031.868818181818,113203.35,1,72,Greed
3,2023-12-15,-12.316016999999999,-24.632033999999997,1.0,2.982,10609.95,1,70,Greed
4,2023-12-16,0.0,0.0,1.0,0.3847066666666667,15348.77,1,67,Greed
5,2023-12-17,21.78448464285714,304.982785,0.21428571428571427,802.5418592857143,116278.02,1,73,Greed
6,2023-12-18,0.0,0.0,1.0,2178.1000000000004,31164.179999999997,1,65,Greed
7,2023-12-19,66.70257413333334,1000.5386120000001,0.3333333333333333,447.8019113333333,91602.41,1,73,Greed
8,2023-12-20,9.040682333333333,162.732282,0.5555555555555556,6.722871666666666,141636.79,1,74,Greed
9,2023-12-21,10.963498000000001,537.211402,0.4489795918367347,91.84020408163265,125233.97,1,70,Greed
10,2023-12-22,14.1832675,141.832675,0.8,30692.8325,88874.28,1,74,Greed
11,2023-12-23,11.302823384615383,146.936704,0.38461538461538464,3.0702846153846153,78438.25,1,70,Greed
12,2023-12-24,25.862050153846155,1008.619956,0.5384615384615384,13680.54118025641,402954.94,1,71,Greed
13,2023-12-25,-81.69378266666666,-245.081348,0.6666666666666666,2275.4,59948.51,1,73,Greed
14,2023-12-27,-25.174615249999995,-704.8892269999999,0.5357142857142857,0.37319214285714286,171411.06,1,73,Greed
15,2023-12-28,-42.20569026086957,-970.730876,0.43478260869565216,0.4032943478260869,100117.25,1,73,Greed
16,2023-12-29,10.178442859999999,508.92214299999995,0.62,3836.17816,569559.72,1,65,Greed
17,2023-12-30,6.826897076923077,354.998648,0.38461538461538464,13421.615271153847,702550.21,1,68,Greed
18,2024-01-01,-7.196192222222223,-129.53146,0.5555555555555556,10373.330666666667,264239.52999999997,1,65,Greed
19,2024-01-02,46.11641858823529,783.979116,0.5294117647058824,10199.892598764705,121348.74,1,71,Greed
20,2024-01-03,12.925604582089552,866.015507,0.47761194029850745,738.8837898507463,394499.36,1,70,Greed
21,2024-01-04,-13.520728,-67.60364,0.4,2212.62,99792.54000000001,1,68,Greed
22,2024-01-05,2.486993409090909,164.141565,0.4696969696969697,30495.46818181818,1703942.66,1,72,Greed
23,2024-01-06,6.16280290909091,135.58166400000002,0.5,6586.107318181818,298521.4,1,70,Greed
24,2024-01-07,-8.615270463917525,-835.681235,0.5360824742268041,7513.911021649485,1048850.06,1,71,Greed
25,2024-01-08,-2.1083940546875,-269.874439,0.3125,15078.63093734375,1522452.43,1,71,Greed
26,2024-01-09,-11.804998042857143,-826.349863,0.4,14127.109546714286,870051.97,1,76,Extreme Greed
27,2024-01-10,-7.860576901554404,-1517.091342,0.47668393782383417,12914.76879230052,2057479.48,1,73,Greed
28,2024-01-11,-7.813785761904761,-164.08950099999998,0.6190476190476191,12141.70542857143,305314.1,2,76,Extreme Greed
29,2024-01-12,-275.0741462857143,-1925.519024,0.7142857142857143,39774.47142857143,200082.27,1,71,Greed
30,2024-01-15,10.918112857142857,152.85358,0.35714285714285715,16738.085714285717,50636.1,2,52,Neutral
31,2024-01-16,-255.4634953333333,-2299.171458,0.4444444444444444,19105.61008888889,116427.33,2,64,Greed
32,2024-01-17,15.344794547169812,813.2741110000001,0.5849056603773585,20112.302,800831.03,1,60,Greed
33,2024-01-18,1.4985476086956522,68.93319,0.391304347826087,24363.11304347826,424631.52999999997,1,63,Greed
34,2024-01-19,-8.029567395833334,-385.419235,0.6458333333333334,14421.93125,428428.97,2,51,Neutral
35,2024-01-20,-1.3827817924528305,-146.57487000000003,0.5660377358490566,14671.724672933962,1070090.51,1,52,Neutral
36,2024-01-21,24.234649636363642,266.58114600000005,0.2727272727272727,19141.940333454546,103129.74,1,56,Greed
37,2024-01-22,16.18401128235294,1375.640959,0.6,6179.383261176471,337878.99,2,55,Greed
38,2024-01-23,-8.20543844444444,-369.2447299999998,0.7333333333333333,11768.913676111111,414518.93000000005,1,50,Neutral
39,2024-01-24,-41.29932080882353,-2808.353815,0.39705882352941174,16861.48394732353,965084.59,1,48,Neutral
40,2024-01-25,-515.6048975,-3093.6293849999997,0.0,87.95416666666667,66566.13,1,52,Neutral
